document	label
무엇하나 분명히 말하지 못하는 아쉬움	0
기법도 그렇고 재밌구만, 평점이 너무 낮다 소지섭 비쥬얼은.. 진짜 최고	1
부족하지도 과하지도 않은 우리네 이야기다. 자신에게 투자않던 엄마가 옷을 사입었다 전기가 나간 저녁식사시간에 보지도 않던 축구 얘기로 어색함을 달랜다. 봐도봐도 좋은 영화다 더불어 크라잉넛의 음악까지 쵝오쵝오	1
아...이건 뭐..반지의 제왕보다 더 허접해 보이는 영상은 박진감은 없고 흥미가 덜 떨어진 영상과 스토리는 딱 아마추어 급.	0
피어스 브로스넌을 이걸로 처음 알았다.	1
가슴 먹먹하다......ㅡㅡ	1
칠전팔기 구해라 대박!	1
겨울왕국?? 비교도 안된다 토이스토리를 잇는 최고의 명작이다 재미있는건 몇번을 계속해서 봐도 재미가 반감되지않음 특히 마지막 장면은 봐도봐도 찡.. 분명 본 장면인데 봐도봐도 감동..	1
기자 평론가 평점과 관람객 평점이 너무 차이난다 싶었는데 평점 조작이었는가벼 ㅋ	0
최고의 의학, 법정 드라마... 멋진 캐릭터들이 정말 많았다.	1
캐릭터들이 생긴게 너무 무섭네요...기분나쁘게 생겼어요ㅋㅋㅋ	0
20대인 내가 보기엔 너무 유치했다	0
공포는무슨...어이영화다. 장르재편성해야할듯	0
공군제대한예비역임댜~훈련소에서본기록영화가더재미있었음	0
야구영화 중 제일 감동적이였던 영화	1
공포영화의 진수! 프레디크루거라는 캐릭터의 매력을 느끼게 해준 영화!	1
아닠ㅋ근데 웃긴게 이거 겁나 잼없는데 시청률이높냐 이거 볼빠엔 사랑만할래 보는게 낫것다	0
뭐가 재밌다는건지;; 오래전에 봐서 그런건지모르겠지만 유치하고 진짜 드럽게재미없었다 그래도 앞부분은 꽤 볼만했는데 후반부로 가면서 썩음;; 더빙때문인지모르겠지만 정말 유치했던영화	0
근데 왜 포토에 성인인증이 필요할까요? 이 영화는 12세 이상 관람이잖아요?	1
허허....배우들 연기만으로 이 영화를 보기엔 시간 아깝다..	0
임창정 팬인데... 영화가 인간적으로 너무 재미가 없어요	0
사랑을 해봐서 그런지 이 영화 너무 좋았어요	1
이걸 왜 만든건지...스토리 이상하고....미션임파서블 따라하기 영화도 아니고뒤죽박죽에 전혀 내용 연결도 안되고몬 의도로 만든건지...	0
에바그린 좋아해서 봤는데..실망. 소재가 파격적이나 그걸 다루는 기술이나 역량이 턱없이 부족한듯.	0
관능미가 없고, 육감적인 생각도 점차 철학적이 되는 몇 안되는 작품은 확실하다.	0
도데체 왜 이리 망친거냐?	0
그냥 생짜 액션으론 최고의 영화다 ㅋㅋ 그냥 다 죽는다	1
10점정도는 아니지만 스릴있었는데	1
4편마저 나오지 않길 바라면서 3를 보았지만 역시나....	0
어색한 난해함이 심히 거북한 영화	0
로건 레먼 졸라 잘생김..본격 로건 레먼 비주얼 감상 영화	1
보영이누나잇으니 봐야겟다~ 10점드려엽	1
라니스터는 반드시 빚을 갖는다	1
그저 그런듯	0
저는 이 영화를 7번 봤습니다 .. 영화를 제대로 이해하려면 코브의 토템이 무엇인지 , 또 마지막 장면에서 팽이가 멈추지않고 돌아가는이유 , 엔딩크에서 킥을위한 음악이 왜 나오는지를 이해하고 한번더 보시면 아 ... 하실겁니다 ...	0
돈을 어디다 쓴거야...정말 돈아깝다	0
제가 진짜 즐겨보는 프로그램이올시다 ㅋ	1
비티비로 만원주고 봤는데 신랑이 죽을래? 라고진짜 상쓰레기 영화	0
허 나는 국내영화중 제일 재밋고만ㅋㅋ 덤앤더머뒤로 이렇게 웃긴영화는처음ㅋㅋ	1
그저그런감동영화라 생각하지마라! 많은걸 느끼게 해주는 정말 최고의 영화다.	1
1점조차 아까운 쓰레기 영화	0
기대안하고 봤는데 재밌음	1
액션영화를 바라고 본게 아니고 다큐같은면을 기대하고 봤음에도 허술한 구성과 이해할숭 없는 전개.. 예술성의 흉내를 내지만 끝내 허세만 가득 느끼게해주는 그런 영화..	0
비추 리뷰가 없다는 것만 보더라도 누구나 공감하는 대작이다.	1
일본영화라도 내가 본 일본 영화중 이것 최악이다...진짜 혈육의 꽃 좀 따라한 느낌도 나고 일본이 성문화가 심한 나라지만 고어라도 재밋도 없고....	0
다시보니 기막히네 마지막 반전의 묘미	1
편견이 편견을 낳고, 그 편견이 또 편견을 낳는다. 꼭 두번 보길.	1
"""역시나 재미있다.마지막 와이프 대사가 압권""""맥클레인 우린 항상 왜이렇지"""""""	1
최고의 영화 스티브 맥퀸 찰슨 브론슨의 매력	1
소재도 신선하고 긴장감은 좋으나 정말 뻔한 한국스릴러. 경찰도 이기고 몸에 불이 붙어도 살아나는 터미네이터 범인이 눈도 잘 안보이는 여자의 일격에 쓰러지고 그와동시에 도착하는 경찰. 정말 아쉬움만 남는 영화. 인기는 배우효과인듯	0
초반의 지루함 중반의 몰입감 후반의 반전의 반전 만족스런 결말	1
어릴적에 봤을때나, 서른넘어 다시 볼때나 여전히 감동적인 걸작!	1
브금과 상황 그리고 연출을 잘 비벼놓은 영화. 트덕 입성의 원인.	1
개인정보나 광대역으로 탈탈털리는 케이티 ㅡㅡ	0
매미,파도 소리보다 안들리는 대사 대사보다 매미소리가 더커 왜케 대사가 웅얼거려	0
이런 영화가 사람의 마음을 움직이게 하는거죠~ 좋은 영화 감사드립니다.	1
배우들 멋지네요 ㅎㅎㅎㅎ	1
스토리가 엉성하고 다소 유치하다	0
결말 실망이에요.... 여태껏 본 시간들이 아까워요	0
850 억...나한데 주지 ㅣ억으로도 만들겟다ㅡㅡㅋ아나ㅠ아깝다 쟁장 ㅋㅋㅋㅋ	0
크리스토퍼 워큰은 악역 연기가 좋구먼	1
175분이 너무나 짧게 느껴졌다.명대사며 명언이며 연기며 캐릭터까지 잊을 수가 없는 영화.초반부터 교훈적이 말들이 나와 정말 중독되었다.원래 봤던 영화를 또 보면 지루하지만 이 영화는 끝까지 보게 하는 영화다.내가 느와르를 좋아하게 되는 계기.책도 짱	1
변혁 이 개 같은 새끼 아직도 살아있나보네.ㅅ ㅂ 토막내서 씹어먹을 새끼...항상 밤길 조심하십시오. 넌 언젠간 잔인하게 OO 날이 온다	0
나름의 감동도 있었고, 생각외로 재밌었던.. 김수미 짱임ㅋㅋㅋ	1
아재미없어요 크리스마스영화라고찾아봤는데 여주안예쁘고줄거리도별로	0
잠 안올때 보니 캡이던데? 아주 효과 좋았어..	0
평점이 높아서 봤는데 딱 싫어하는 스타일..	0
나레이션이좀그렇네요 그냥잤습니다 보지마세요	0
캐스팅은 A급 영화 구성은 B급	0
두 주인공 연기 굳! 맥라이언은 아름답고.세월의 흐름이란..다시 십여년 후에 보면 어떤 느낌일지	1
난..별로던데-.-..	0
안타깝다. 이게 영화평가 란이 아니라 야동평가란이 었으면 좋았을텐데. 영상미학이 있는 야동계의 최고봉. 폭력, 강간같은거 땡길 때 현실에서 하지 말고 이 영화를 보면서 풀면 좋을 것 같아요.	0
혹성탈출과 전~혀 무관한 영화입니다. B급 쓰레기 크리쳐물들의 공통점: 사람도 건물도 많이 없는 외딴 산속이 배경이다	0
인혜엄마와 현태는 그렇게 못찾는걸 지은인 쉽게 찾는다. 그리고 지은인 무슨 자격으로 현태를 만나지 말라고 협박을 하는지 기본 매너 상식이 없네요 있는 사람은 그런거 없어도 되는건지	0
이거뭐...스토리가 시작부터 벌써...	0
시월애 만큼이나 OST와 영상이 기억나는 영화... 너무 아름답다.. DVD도 소장중...	1
그냥 쭉 웃김 제목도 히치콕영화 패러디 한거 같아서 재밌음 Much -&gtLittle	1
이 좋은 배우들을 이렇게 이용하다니	0
원래 영화 두세번 안보는데 심심할때 생각나는 영화인듯	1
좋았습니다	1
별점 하나 주기도 아까움. 영화관에서 봤었는데, 지금도 잊지못할만큼 내생애 가장 최악의영화	0
만화 보면서도 , 영화 보면서도 , 계절을 음미하며 천천히 살고 싶다는 생각이 마구 들었다	1
조디 포스터 연기 그냥 대박	1
스필버그란 대기업의 퇴폐적 문화, E.T 연대기의 실패, 이것이 과연 3000억 벌어들일만한 영화인가?후크란 소재로 어른과 아이의 동화된 혹은 잃어버린 동심을 향한 팝콘무비	0
무슨 말이 필요하옵니까? 견자단 형님의 액션입니다. 많은 수식어는 오히려 이 영화를 표현 못하는 것입니다. 가히 최고입니다. ㅋ	1
아~ 매우 지루해...	0
결말이 조금 아쉬웠지만 엄청 신선하고 몰입도, 배우들 연기도 좋았다. 새로운 뱀파이어 물~	1
재밋다~~~~~~~~~	1
아나 접속하게만드네 진짜 말안나오게 무섭지도않고 시간이아깝다 진짜 ㅡㅡ;;	0
밀리	1
god damn shit the fucker !!	0
대박 반전이었다잊지 못할듯	1
포스터에 낚였다..더럽게 재미없다..	0
기대 없이 봐서 그런가 전 넘 잼있게 잘 봤어요..ㅎㅎㅎ	1
액션은 조악하고 진지한건지 웃길려고 진지한척 한 건지 모르겠다.ㅡㅡ;; 악역인 정두홍은 카리스마가 없고 진지한데서 빵 터지는 얼굴 때문에 오히려 몰입도 방해. 생각나는건 류승범의 겨털과 정두홍의 어설픈 표정연기	0
담부턴 이런 드라마는 케이블로 나와주세요..너무 질이 떨어져서 황금같은 시간에 볼수가 없네요..	0
이거 코믹물이잖아... 햇갈렸네	0
아 재밌다.	1
현실만본영화 영화는현실이다	1
두부공장 차사장.살인마 은희가족을.안타깝다 차사장 지옥가라	0
시청률 3프로가 모든 걸 대변해 준다....이선균을 좋아해 참고 보다가 5편에서 포기했다...일과 사랑? 풋....말이면 다 말인줄 아나보군...	0
정말 좋아하는 영화입니다.	1
재미있게 잘보고있어요^^	1
진부한 스토리와 산만한 전개	0
조잡스러운 에피소드의 나열	0
처음 부터 끝까지 좋았다	1
한예린 이때는 참 괜찮았었는데	1
이런..	0
저글링 러쉬를 버텨내는 전형적인 킬링타임용 영화	0
슬프고 맘아픈 영화..	1
피식 웃을수 있는 정도의 영화지만.. 적어도 한국 싸구려 공포물 보다는 낳긴 하다.	0
진정무엇을원하는지 모르겠다.	0
올??? 찌질한 스커드가 노만 리더스 행님이었다니 !! ㅋㅋ	1
뮤지컬의 감동을 극장에서 다시 느껴볼수 있다는 것만으로도 충분한 가치가 있는 영화!	1
개봉당시 태권도 때문에 회자되던...	0
우리 주위에서 있을듯한 일들 이런 영화 괜찮네요.	1
오늘 보고 나왔는데 정말 잼있네요~애들이 엄청 조아라하네요~가족영화로 강추입니다~~^^	1
이거나 먹어..	0
예전에 디즈니 라이온킹 보고 표절이녜 뭐녜 해놓고는, 레오에도 디즈니 캐릭터를 표절한게 있는듯... 앵무새랑, 코끼리 나오는거 소재가 비슷한데...	0
아...진심답답하다!오늘은쫌해결되나싶엇는데 너무질질끄신다..완전재밋게보고잇엇는데어느순간부터말도안되는막장임 언제까지진주슬프게할지...어서어서잭회장이수빈이가짜란사실을알앗으면좋겟네^^	0
사람의 호기심을 유발 시키는데 탁월한 재능이 있는 일본의 dvd/vhs	0
정말 현실성 뚝 떨어지는 최악의 드라마... 강지석 잘 살라고 1점	0
그냥 바보 같으면서도 일상적일 수 있는 ... 코믹~! 로맨틱 코메디라고 해두죠..	1
한마디를 하자면.... 예고편이 더 재밌었어요 ^^	0
최악의드라마 똥덩어리 그 자체이다	0
차라리 강우석의 실미도나 태극기 휘날리며가 더 재밌겠다. 탱크의 초근접 제로거리가 무시되고, 기관총엔 독일군이나 미군이나 죄다 예광탄 달려있질 않나... 스토리가 있는 것도 아니고...	0
최고의명장면,최고의감동,최고의열정 모두담은영화	1
정말 최고의 영화죠. 감동과 음악도 좋고!	1
그냥 티비용 단편드라마수준	0
영화 막바지에서 부터 최악이다.....	0
다시 보고파 어디서 구할수 없을까요..?? 내 기억속에 오래오래 간직된 보물상자예요	1
평점 더주고싶다 어떻게 이런 상상 을 할수있는 건가요 지루한 부분 하나없는 이영화 강력 추천 합니다	1
80년대에나 통할 영화!! 보지않는게 낫습니다.	0
재밌게보았어요~~~	1
신혼여행지, 나이들어 꼭 다시 가봐야지.	1
아무리 뻔한 내용의 액션 스릴러 영화라지만 이렇게 연출이 허접한 영화는 참 할말이 없다. 전혀 몰입이 안되는구나....	0
명작인데;ㅋㅋ	1
잔잔한 내용 유머와 위트 그리고 생각치 않은 반전..슬픔 그리고 성장	1
아멜리에처럼 비쥬얼이 끝내주고 유쾌한 영화	1
그냥 차안에서 전화질만하다 끝나는 초저예산영화. 이젠 이딴걸 영화랍시구 봐야하다니. 감독이 넘뻔뻔하네	0
오프닝 제회 증말 재있음 또보고싶따 ㅜㅜ	1
갠적으로 실망	0
고증은 엉망이며 리얼리티또한 떨어지고 감독은 GP506과 알포인트의 퀼리티를 노렸으나 그건 감독만의 개인적 착각이였다. 다시 연구하고 다시 만들어라. 애초에 여군이 등장 하는 것 부터가 비현실적.	0
너무너무 중요한 날이라며 강조하면서 시종일관 불필요한 작위적인 주변부 이야기들로 집중을 방해한다. 치밀한 각색이 아쉽다.	0
나름대로의 분위기에 4점 준다.	0
설마하던 예상을 전혀 빗나가지 않던 전개. 이것이 이영화 최고의 반전 포인트다.	0
반개도 아깝다...내가 영화보다가 빡쳐서 뛰어나온 최초의 영화였지....대체 왜 거기서 사랑이 싹트는지도 모르겠고...계연성도 없고 핵노잼	0
솔찍히 목소리자채만들으면 쫌이상하긴했지만 영화채널밑에 계속 손예진더빙 이런글떠서 방해되긴했음 암튼 감동	1
요즘 월,화가 기다려집니다. 빅맨 볼려구요... 너무 재밌어요..조금 유치한듯 하지만 강지환 굿... 권혜효 굿....	1
별점 조작 좀 하지마라.	0
공주병 걸린 늙은 할매의 원맨쇼 드라마. 다른 출연자들 졸라 불쌍함. ㅜㅜ	0
경찰과 갱의 우정 때론 경찰보다 갱이 더 나을때가 있다	0
손발이 오그라든다 대체 왜 이런영화를 돈들여 찍는가요?	0
너무 더러워 차마 끝까지 볼 수 없었던 영화.	0
긴 서론이 지나가면 꽤 깔끔한 스릴러가 나온다.	1
내용 추리 다 되는 뻔한 스토리.. 정말 돈아까워 미치겠다!	0
별볼 일 없는 영화!!	0
반전에만 너무나 공을 들인다고 호러영화가 아니다.	0
니나 봐라..	0
대기업 단체 등에 업은 작가나으리가 표절하니 힘없는 만화가 개인은 소송을 걸 힘도 없어 아쉬움을 달래며 묵인한 영화 이런영화는 다시는 나와서는 안된다	0
평범해 보이는 평점과 줄거리에 완전히 속았다. 이제서야 본 게 후회되는 영화. 전혀 예상치 못한 전개, 긴장감 넘치는 연출, 80년대 느낌의 배경 음악, 여유와 유머가 넘치는 노장들의 액션, 서부극이 연상되는 후반부까지 정말 100% 만족스러웠다.	1
너 무 재 미 있 어 요!!!	1
소재가 참 좋은데. 뭔가 허전하네요.왜 이렇게 만드셨나요	0
몬스터, 카우보이 비밥 내 인생 최고의 만화들...	1
good ,,goood	1
자국에서만 상영바라다.	0
뭔가가있을거란 생각은 절대하지말자 ㅡㅡ 나는속앗다 진짜시리즈중가장 최악.	0
타미 그어린놈땜에 아주 ㅉㅉ 어린놈들 간수 잘해야됨 가만히좀 둬야지	1
글쎄.. 굳이 돈주고 볼 필요까지 있을까?	0
대놓고 유혹하는 유부녀 뭔가 음모가 있는 줄 알았는데...배우들의 몸매는 좋은데 베드신이 아쉬움, 감정이 없다 ㅠ	0
태어나서 한번도 운적이없었으나 심영때문에 눈물을 흘리고말았다.	1
드라마생각하지말자...이런걸 영화라고...다행이다 중간중간 넘어가서...	0
거짓말도 제대로 하면 예술의 경지에 이른다. 확고한 믿음없이 보짱없이는 불가능한 연기이다.	1
추억의명작 다시보고싶은배우들	1
the work of elementary school student?	0
대구에서 10명이 보셨다고하니 10점 드립니다	1
현실적이면서도 아름답고 슬프고... 복잡한 미묘한 감정 ...난 괜찮았다.	1
재밋던데?이뤄져서다행ㅠㅜ	1
감독 정신이 있는거냐 어케 에로배우를 배나오고 가슴은 쥐젖 ㅋㅋㅋ	0
이건 여성우월주의가 아니라, 성별이 갖는 이미지 차이의 요소를 적절히 쓴 영화인듯.평점에 여성우월주의라느니 해서 봤는데.. 그런 느낌은 하나도 못받았음. 어...진짜 별 내용도 없고 스토리도 별로 였지만 중간중간 웃긴거 있었고 배우 좋아하니까..흠..	0
제가본 영화중 가장 재미없었음..	0
호감으로 시작했던 여행, 복잡했던 과정은 잊고 좋았던 기억만 가져가려는 이기심.결국 여행을 마치려는 공항에서, 사랑을 끝내려는 다짐 앞에서, 다시 만날 약속을 하려는 재회는 왜 이리 슬프고 현실은 왜 이리 냉혹한가. 아름다움만 간직하려는 건 욕심일까?	1
감동은 있지만..가족들의 고통을 알고도 신념을 꺽지않는 저 할아버지 똥고집의영화	0
연기를 발로하나? 감정이입이 안된다.	0
유명한 영화라면 이해 못해도 무조건 10점 주는 개티즌들 솔찍해 져봐	0
한줄평 ,댓글 이런걸 졸귀라 안남기는데 시간날린게 아까워서볼 가치가 없다 ㅡㅡ	0
연예인 더빙 아니라서 감사합니다	1
미안해요;	0
아름다운 슬픔 ㅠㅠ 마음이 시려요..영화라기보다 소설을 본 느낌..	1
고민하지 마시고 꼭 보시길 추천합니다!	1
화성 옆동네 아직도 범인은 오리무중 향숙이	1
ㅋㅋㅋㅋ물고기 옮기는 장면ㅋㅋㅋㅋ	1
별.. 반개도 아깝네요.. 이건뭐.. 공포영화라는거 자체가 믿기지가 않네요 ㅋㅋㅋ 똥보고 나오면서 물안내린 기분	0
상당히 잼있게 봤다. ㅎㅎ 프랑스 영화도 볼만하넹 ㅋ	1
신기에 가까운 영화...이연걸의 전성기에 빙점을 찍는 작품	1
젬있는거같기는하는데 이영화를 어디에서 볼수있는지 좀알려주시면좋겠네요	1
관능적인 소피마르소를 보여준 영화 그거 외엔 솔직히 붕떠있는 영화.	1
개인적으로 알포인트보다 조금더 업그레이드된것같아서 더 낫던데	1
어린 나이에 봤던게 계속 기억에 남아서 다시 봤다. 오프닝이 나오는데 소름 돋는다. 걸작이다.	1
저리 바람 피는 년들은 다 죽어야 해 속이 시원해	1
맥스페인 게임을 안해봐서 게임은 잘 모르겠지만 영화는 그닥 나쁘지 않았는데..	1
기본소스가 참신한 건 아닌데 참신한 스토리라인.	1
재기발랄함은 온대간대없고 화장실 유머만 남았다	0
더럽게 잼없네..이젠 애니도 짝퉁만드니?	0
소설도 읽었지만 지루한 건 어쩔 수 없다.	0
보고싶다~보고싶다	0
나에게는 10점만점의 영화... 보고 또 가끔 보게되는 영화	1
많이 울었습니다..	1
이제서야 영화를 봤다. 요즘의 덜떨어진 영화들. 특히 국내영화들을 보다 이것을 보니 마음이 차분해진다.	1
그 액션을 다른데좀 쓰지..	0
보면서 심장이 쫄딱쫄딱 *--* 재밌다	1
분위기, 느낌이 좋아요. 에드워드 노튼의 연기는 역시 최고네요.	1
90년 전후해서 좀비영화 빼놓지 않고 다본듯한데, 2010년 현재 내가본 최악의좀비영화	0
아.. 나이거 메모지있는데~..	1
가슴이 뭉클해진다	1
걍정신병원에넣으면될것을여러사람죽게만드네3류물이다비추천	0
오랜만에 가족들과 재미있게 본 영화라 더 감동적이었어요	1
너무너무 편하게 봤습니다. 정민아 씨 실제로 뵈니 굉장히 미인이시네요, 마치 저처럼	1
정찬은 언제부터 B급 무비에만 출연하는 B급 배우가 돼었을까?	0
허위사실전과3범인 사람말 믿느니 북한이 유토피아라는 말을 믿겠다	1
정말 재밌고 감동적인 영화였어요^^~ 강추!	1
즐..	0
미쟝센 좋고 ~ 주인공 겁나이쁘고 사랑스러웠으나 전체적으로 봤을때는솔직히 개 막장 말도안되는 스토리, 원조하던 개날라리가 갑자기 180도 다른 사람이 되어버린다~ 그리고 비현실적으로 잘생기고 이쁜 남자와여자 . 도저희 공감을 못하겠다	0
잔꾀 많은 우스운 술수들.	0
ㅋㅋ 90년대 풍이 나긴해도 꽤 재밋네요 ㅋㅋ	1
정말 재미가없음.. 정신없고 산만함 강예원이 귀신한테 쫑알쫑알 말했던 씬은 짜증만났음 웃기지도않고 편집잘못한거같은영화	0
이걸 영화라고 만들었나 ㅡ,.ㅡ	0
홍콩영화의 내리막길이 본격적으로 열리면서 나온 대표적인 영화	0
어린 감독이 대단하다. 아이디어 좋고, 연기 좋고.	1
조금 괴상할뿐 연기, 이야기방식 모두 처진다.	0
천재	1
불륜영화 ㅡㅡ	0
더럽게 질질끄네 검사가 수배중인 인간을 몰라보는게 말이되냐? 몇주를 끄는거야 그냥 마지막회나 볼란다 드라마재수없어	0
볼꺼라면 중간이후부터 보세요.	0
어렸을적에 진짜 재밌게 봤는데..다시 보고싶은데 볼 수 있는데 없을까요?ㅠㅠ	1
칸나가... 아니잖아 ㅠㅠㅠㅠㅠㅠ	0
점점 스토리가 이상해지네. 아무리 드라마라고해도 저 시대때는 유교사상이 아닌가? 남녀 애정씬이 너무 그렇네... 현대물도 아니고 사극에서... 이럴거면 현대물로 바꾸건가!!	0
너무 기대를하고 봐서그런가 뭔가좀 엉성하네;;	0
범죄를 저지른 여자의 성공스토리 무엇을 전달하기위한 영화인지 이해 불가	0
좀비물 치고 눈물도 있고 감성이 풍부해지는 영화임. 개인적으로 김태용 감독의 작품이 젤 좋았슴. 한국좀비물 중에선 최고!	1
반담과많이비교되지만몸으로너무몰아부치는괴력뿐	0
사극 상도,선덕여왕,닥터진에 이어 재밌게 보고있음，신의 보단 백배 나음，1점주는 놈들은 알바냐?	1
배우들은.. 할말없다	0
허접한영화.........예전 나에게 실망을 엄청 안겨 주었었지	0
배우들이 아깝다 최민수와 김영철로도 못살려내다니	0
3류 쓰레기 영화도 이것보단 낫겠다! 더러워~	0
이거 1편 보고 재밌겠어서 볼려고 했는데 평점이 다 왜 이모양 불쌍해서 10점 주고 감	1
왜봣지?	0
재밋는데 뭔가 벤제마닮음	1
말해봐야 입만 아픈, 말해도 명작이라는 생각 뿐^^	1
내 평생 이렇게 화나는 영화 처음이다.	0
니노의 이중인격연기 두근거리네요♥	1
ㅋㅋㅋㅋ그냥 재밌게 보기 좋은 영화. 눈이 즐겁다!	1
와우 ㅋㅋ 영혼을 끌어모은 알바님들 수고가 참 많으십니다!!ㅋㅋㅋㅋ	0
이런류의 영화 너무 좋음~	1
평점이 8점이라고 에혀...알바새퀴들 진짜 콱	0
1%의 어떤것 정말 재밌어요.. ㅋㅋ	1
it's time to change this world~	1
고등학생역에 너무 나이많은 여배우를 캐스팅한것 같다.. 관련 상을 많이 받은것 같은데.. 배우들 연기도 별로인것같고.. 스토리도.. 그다지... 왜 상을 받았을까....	0
정말 스토리재미있을꺼같아서 보려했는데 이건머 유치한것도아니고 90년데 드라마 같은 참 ...이러지맙시다 찍는사람이 신기하네 어트케 이런거찍으면서 밥이목에넘어가시는지 시도는좋으나 전개난리나네	0
따듯하고 온화한 색채의 영화	1
아늬아늬아늬아늬아늬아늬아늬 보지마~	0
뭘 말하고픈 건가 이 영화는 그리고 이 별로 매치안되는 제목은 ㅡ.ㅡ, 아에 코믹으로 가든가	0
대사 하나하나가 남자인 나한테도 다가오네요결혼을 결정 하지못하는 남자들 한테도 추천!!!	1
무언가를 생각하게 만들어준 영화	1
도대체 우리한테 왜이러는 거예요?	0
정부는 책임지고 130명의 명단을 공개하라!!	0
빠순이들이나 처보는 씹딱구 장애3급영화	0
눈물이 난다ㅠ 어렸을때 추억에..	1
개노답 발연기 시간아깝네 알바새끼들	0
예전 부터 영문도 모르고 미우라 하루마를 싫어했는데 생각해보니 예전에 이거 봤던 기억때문이었네 소름;; 가키를 사랑하지만 이 영화는 너무 아니었음. 오히려 가키가 불쌍해서 도중에 그만볼까했다는	0
언어를 통해 전염되는 좀비병? 설정이 너무 이상해	0
모든 면에서 실망스러운......공포영화의 어떤 요소도 느낄 수 없었음.	0
아직도 기억난다 휴잭맨의 울버린 싱크율.. 다캐릭터 등장의 재미를 물씬 잘 살린 영화의 원조격이다.	1
그와 그녀의 괴로움, 이해되지도 공감할 수 없다	0
나의 작은 눈	0
재미있네요. 역시 론 하워드.	1
연기 연출 촬영 편집 음악 어느하나 흠잡을 데 없다. 늘 추억속에 간직되고 있는 영화	1
와 이거 78년도 영화네 ㅋㅋㅋㅋ 오늘 티비서 해주던데 잼나게 봤음 ㅋㅋ	1
인간에 대해 깊이 생각하게 됩니다..	1
강호동은 옛날이나 지금이나 MSG같은 사람이야	1
기존의 스파게티 웨스턴이 다루던 주제들과는 달리 세 명의 주인공은 서로의 욕심을 위해서만 움직이며 이야기가 펼쳐진다. 커진 스케일 만큼이나 괄활한 서부 사막은 눈요기거리로 부족함이 없다. 후반부 ost도 일품이다.	1
미개문명이 저것보다 더 잔인했으면 잔인했지 덜하지는 않음	1
내려오는 눈꺼풀은 장사도 이길 수 없다는 것을 몸소 체험, 성당의 아름다움에 별1	0
빈약하다....	0
(링 + 착신아리 + 처키) / 한국공포영화 의 한계 = 평점	0
여성성환타지가강한영화 남자가볼시 혐오성을일으킬수있다	0
그저 그런 영화. 그저그런 영화 한 편을 본 느낌이다.	0
정말 시끄러운 다큐멘터리	0
잼없다 근데 로완앳킨슨은 팬임ㅋ	0
초반부터 범인 암시에 인물들이 전부 호구..여자 자기남편이랑 범인이랑 싸우는데 총들고있으면서 멀뚱이 서있음..나같음 달려가서 제로거리 사격이라도 한다.( 이때당시 범인이 남편이랑 뒹굴거린게 아니라 확실히 사격가능했었음. )	0
이영화를평점1주는 사람들은무슨생을 가진거고홉시 내용응 이해못하고 싸이코 기질이 있는분인가라는 생각을 하게만드는 명작임	1
와 BOBBY짱!!!나도커서 바비형처럼멋진랩퍼가되고싶어요ㅎㅎBOBBY형무대완전멋졋어요 우승축하해요ㅎㅎㅎㅎ아이언도잘했긴했는데 주제에맛게했으면괜찮았을건데ㅎㅎBOBBY형ㅊㅋㅊㅋ해요ㅎㅎ	1
O	1
노잼 예스트레스~~~	0
어제 개봉?ㅋㅋㅋ	0
재밌게 잘 봤습니다 갱스터들의 화려함속 내부를 표현한 점이 마음에 드네요.	1
ㅋㅋㅋ틴탑화이팅 애버리지 10 만듭시다	1
옛날에봐도 지금봐도 여전히 재밌다 ㅋㅋㅋㅋ	1
비록 가짜의사였지만 한여자에대한 사랑하는 마음은...따뜻합니다 ^^:	1
답답. 지루	0
이 영화 메가박스 어디에서 해요	1
7광구보다 노잼인데....	1
뭐 하잖거??	0
그나마 배우들이 쩔어서 이정도 점수임 어찌 이런배우들로 영화가 이렇게 만들어질수가있는지 흠 신기하기도하내요	0
이게원보다 평점이높냐--;더군다나 8점대라니--;	0
세상에... 이런쓰레기영화가 있을줄이야	0
무슨말이 필요하겠는가??? 아오이 우유 하나 만으로도 10점 받기에 충분하다	1
닌자어쌔신이랑 자주 비교된다. 비의 닌어나 병헌의 지아이조는 멋있었는데 이건 스케일도 작고 무엇보다도 동장건의 비중이 공기	0
재밌던디...-_-;;	1
스토리는 나쁘지 않은데 연기와 사운드가 정말...	0
애매모호.. 아이러니하네요.	0
어메이징 스파이더맨!	0
강추입니다!! 어른도 아이도 모두가 만족할 수 있는 애니메이션입니다^^	1
유치한 대사,성난 관객,신유주 노출만 볼만했네.	0
내인생 최악의 허무극, 사기도 이런 사기가 없다. 큰 포장에 알맹이는 콩알만한 영화	0
새삼 제자신이 이렇게 쓸모없이 인생을 허비하는 것에 대해 아야에게 미안해집니다.	1
재밌다 볼만하다 전혀 지루하지않다 예술가가 되는 기분이다	1
두 배우의 네임밸류에 제대로 당했군.	0
손예진 맨 살 덩거리 장면 말고는완전 볼끼 없었다이 ㅎㅎ	0
그냥 치워라 티비를 때려부시든지 해야지	0
꼭 보세요. 아무 생각없이 지나다녔던 길을 다시 볼 수 있을거에요.	1
당신이길 바랬어요.... ㅎㅎ	1
너무재미있엇음	1
OO욕 나오는 드라마mbc왜이러냐메이퀸더 그렇고 ㅋㅋㅋ 애비3명 만드는거 넘 좋아하네	0
네이버 영화판에,평점0점을 신설해야 하는 이유...	0
